"Referentiecode";"Referentienummer";"Omschrijving";"D/C";"Niveau";"ReferentieOmslagcode";"Wijziging"
"BLasSakHvlBeg";"0805010.01";"Beginbalans hypotheken van kredietinstellingen (langlopend)";"C";5;;
"BLasSakHvlHoo";"0805010.02";"Hoofdsom hypotheken van kredietinstellingen (langlopend)";"C";5;;
"BLasSakHvlToe";"0805010.03";"Toename hypotheken van kredietinstellingen (langlopend)";"C";5;;
"BLasSakHvlAfl";"0805010.04";"Aflossingen hypotheken van kredietinstellingen (langlopend)";"D";5;;
"BLasSakHvlAvp";"0805010.05";"Aflossingsverplichtingen hypotheken van kredietinstellingen (langlopend)";"D";5;;
"BLasSakHvlOmv";"0805010.06";"Omrekeningsverschillen hypotheken van kredietinstellingen (langlopend)";"C";5;;
"BLasSakHvlOvm";"0805010.07";"Overige mutaties hypotheken van kredietinstellingen (langlopend)";"C";5;;
"BLasSakFvl";"0805020";"Financieringen van kredietinstellingen (langlopend)";"C";4;;
"BLasSakFvlBeg";"0805020.01";"Beginbalans financieringen van kredietinstellingen (langlopend)";"C";5;;
"BLasSakFvlHoo";"0805020.02";"Hoofdsom financieringen van kredietinstellingen (langlopend)";"C";5;;
"BLasSakFvlToe";"0805020.03";"Toename financieringen van kredietinstellingen (langlopend)";"C";5;;
"BLasSakFvlAfl";"0805020.04";"Aflossingen financieringen van kredietinstellingen (langlopend)";"D";5;;
"BLasSakFvlAvp";"0805020.05";"Aflossingsverplichtingen financieringen van kredietinstellingen (langlopend)";"D";5;;
"BLasSakFvlOmv";"0805020.06";"Omrekeningsverschillen financieringen van kredietinstellingen (langlopend)";"C";5;;
"BLasSakFvlOvm";"0805020.07";"Overige mutaties financieringen van kredietinstellingen (langlopend)";"C";5;;
"BLasSakLvl";"0805030";"Leningen van kredietinstellingen (langlopend)";"C";4;;
"BLasSakLvlBeg";"0805030.01";"Beginbalans leningen van kredietinstellingen (langlopend)";"C";5;;
"BLasSakLvlHoo";"0805030.02";"Hoofdsom leningen van kredietinstellingen (langlopend)";"C";5;;
"BLasSakLvlToe";"0805030.03";"Toename leningen van kredietinstellingen (langlopend)";"C";5;;
"BLasSakLvlAfl";"0805030.04";"Aflossingen leningen van kredietinstellingen (langlopend)";"D";5;;
"BLasSakLvlAvp";"0805030.05";"Aflossingsverplichtingen leningen van kredietinstellingen (langlopend)";"D";5;;
"BLasSakLvlOmv";"0805030.06";"Omrekeningsverschillen leningen van kredietinstellingen (langlopend)";"C";5;;
"BLasSakLvlOvm";"0805030.07";"Overige mutaties leningen van kredietinstellingen (langlopend)";"C";5;;
"BLasOls";"0806000";"Overige langlopende schulden";"C";3;;
"BLasOlsSgl";"0806010";"Schulden aan groepsmaatschappijen (langlopend)";"C";4;;
"BLasOlsSglBeg";"0806010.01";"Beginbalans schulden aan groepsmaatschappijen (langlopend)";"C";5;;
"BLasOlsSglHoo";"0806010.02";"Hoofdsom schulden aan groepsmaatschappijen (langlopend)";"C";5;;
"BLasOlsSglToe";"0806010.03";"Toename schulden aan groepsmaatschappijen (langlopend)";"C";5;;
"BLasOlsSglAfl";"0806010.04";"Aflossingen schulden aan groepsmaatschappijen (langlopend)";"D";5;;
"BLasOlsSglAvp";"0806010.05";"Aflossingsverplichtingen schulden aan groepsmaatschappijen (langlopend)";"D";5;;
"BLasOlsSglOmv";"0806010.06";"Omrekeningsverschillen schulden aan groepsmaatschappijen (langlopend)";"C";5;;
"BLasOlsSglOvm";"0806010.07";"Overige mutaties schulden aan groepsmaatschappijen (langlopend)";"C";5;;
"BLasOlsSvm";"0806020";"Schulden aan overige verbonden maatschappijen (langlopend)";"C";4;;
"BLasOlsSvmBeg";"0806020.01";"Beginbalans schulden aan overige verbonden maatschappijen (langlopend)";"C";5;;
"BLasOlsSvmHoo";"0806020.02";"Hoofdsom schulden aan overige verbonden maatschappijen (langlopend)";"C";5;;
"BLasOlsSvmToe";"0806020.03";"Toename schulden aan overige verbonden maatschappijen (langlopend)";"C";5;;
"BLasOlsSvmAfl";"0806020.04";"Aflossingen schulden aan overige verbonden maatschappijen (langlopend)";"D";5;;
"BLasOlsSvmAvp";"0806020.05";"Aflossingsverplichtingen schulden aan overige verbonden maatschappijen (langlopend)";"D";5;;
"BLasOlsSvmOmv";"0806020.06";"Omrekeningsverschillen schulden aan overige verbonden maatschappijen (langlopend)";"C";5;;
"BLasOlsSvmOvm";"0806020.07";"Overige mutaties schulden aan overige verbonden maatschappijen (langlopend)";"C";5;;
"BLasOlsSpl";"0806030";"Schulden aan participanten en aan maatschappijen waarin wordt deelgenomen (langlopend)";"C";4;;
"BLasOlsSplBeg";"0806030.01";"Beginbalans schulden aan participanten en aan maatschappijen waarin wordt deelgenomen (langlopend)";"C";5;;
"BLasOlsSplHoo";"0806030.02";"Hoofdsom schulden aan participanten en aan maatschappijen waarin wordt deelgenomen (langlopend)";"C";5;;
"BLasOlsSplToe";"0806030.03";"Toename schulden aan participanten en aan maatschappijen waarin wordt deelgenomen (langlopend)";"C";5;;
"BLasOlsSplAfl";"0806030.04";"Aflossingen schulden aan participanten en aan maatschappijen waarin wordt deelgenomen (langlopend)";"D";5;;
"BLasOlsSplAvp";"0806030.05";"Aflossingsverplichtingen schulden aan participanten en aan maatschappijen waarin wordt deelgenomen (langlopend)";"D";5;;
"BLasOlsSplOmv";"0806030.06";"Omrekeningsverschillen schulden aan participanten en aan maatschappijen waarin wordt deelgenomen (langlopend)";"C";5;;
"BLasOlsSplOvm";"0806030.07";"Overige mutaties schulden aan participanten en aan maatschappijen waarin wordt deelgenomen (langlopend)";"C";5;;
"BLasOlsBep";"0806040";"Belastingen en premies sociale verzekeringen (langlopend)";"C";4;;
"BLasOlsStz";"0806050";"Schulden ter zake van pensioenen (langlopend)";"C";4;;
"BLasOlsVbe";"0806060";"Vooruitontvangen op bestellingen (langlopend)";"C";4;;
"BLasOlsSll";"0806070";"Schulden aan leveranciers en handelskredieten (langlopend)";"C";4;;
"BLasOlsTwl";"0806080";"Te betalen wissels en cheques (langlopend)";"C";4;;
"BLasOlsGvl";"0806090";"Giftenverplichtingen (langlopend)";"C";4;;
"BLasOlsSvl";"0806100";"Subsidieverplichtingen (langlopend)";"C";4;;
"BLasOlsVvn";"0806110";"Verplichtingen uit hoofde van onroerende zaken verkocht onder voorwaarden (langlopend)";"C";4;;
"BLasOlsVod";"0806120";"Verplichtingen aan overheid (langlopend)";"C";4;;
"BLasOlsOsl";"0806130";"Overige schulden (langlopend)";"C";4;;
"BLasOlsOlp";"0806140";"Overlopende passiva (langlopend)";"C";4;;
"BLim";;"LIQUIDE MIDDELEN";"D";2;;
"BLimKas";"1001000";"Kassen";"D";3;;
"BLimKasKas";"1001010";"Kas";"D";4;;
"BLimKasKlk";"1001020";"Kleine kas";"D";4;;
"BLimBan";"1002000";"Bankrekeningen";"D";3;;
"BLimBanRba";"1002010";"Rekening-courant bank";"D";4;"BSchOvsRba";
"BLimBanDrk";"1002020";"Depotrekening";"D";4;;
"BLimBanDep";"1002030";"Depositorekening";"D";4;;
"BLimBanBel";"1002040";"Beleggingsrekening";"D";4;;
"BLimBanInb";"1002050";"Internetrekening";"D";4;;
"BLimKru";"1003000";"Kruisposten";"D";3;;
"BLimKruSto";"1003010";"Stortingen onderweg";"D";4;;
"BLimKruPIb";"1003020";"PIN betalingen";"D";4;;
"BLimKruCra";"1003030";"Creditcard afrekening";"D";4;;
"BLimKruWec";"1003040";"Wissels en cheques";"D";4;;
"BVor";;"VORDERINGEN";"D";2;;
"BVorDeb";"1101000";"Debiteuren";"D";3;;
"BVorDebHad";"1101010";"Handelsdebiteuren";"D";4;;
"BVorDebHdi";"1101020";"Handelsdebiteuren intercompany";"D";4;;
"BVorDebVdd";"1101030";"Voorziening dubieuze debiteuren";"D";4;;
"BVorDebHdb";"1101040";"Huurdebiteuren";"D";4;;
"BVorDebGet";"1101050";"Gefactureerde termijnen";"D";4;;
"BVorBtw";"1102000";"Omzetbelasting";"C";3;"BSchBtw";
"BVorBtwTtv";"1102010";"Terug te vorderen omzetbelasting";"D";4;"BSchBtwAtd";
"BVorBtwTtvBeg";"1102010.01";"Beginbalans terug te vorderen omzetbelasting";"D";5;;
"BVorBtwTtvOla";"1102010.02";"Omzetbelasting leveringen/diensten algemeen tarief ";"C";5;;
"BVorBtwTtvOlv";"1102010.03";"Omzetbelasting leveringen/diensten verlaagd tarief ";"C";5;;
"BVorBtwTtvOlo";"1102010.04";"Omzetbelasting leveringen/diensten overige tarieven ";"C";5;;
"BVorBtwTtvOop";"1102010.05";"Omzetbelasting over privégebruik ";"C";5;;
"BVorBtwTtvOlw";"1102010.06";"Omzetbelasting leveringen/diensten waarbij heffing is verlegd ";"C";5;;
"BVorBtwTtvOlb";"1102010.07";"Omzetbelasting leveringen/diensten uit landen buiten de EU ";"C";5;;
"BVorBtwTtvOlu";"1102010.08";"Omzetbelasting leveringen/diensten uit landen binnen EU ";"C";5;;
"BVorBtwTtvVoo";"1102010.09";"Voorbelasting ";"D";5;;
"BVorBtwTtvVvd";"1102010.10";"Vermindering volgens de kleineondernemersregeling ";"D";5;;
"BVorBtwTtvSva";"1102010.11";"Schatting vorige aangifte(n) ";"C";5;;
"BVorBtwTtvSda";"1102010.12";"Schatting deze aangifte ";"C";5;;
"BVorBtwTtvTeo";"1102010.13";"Terugontvangen omzetbelasting ";"C";5;;
"BVorBtwTtvNah";"1102010.14";"Naheffingsaanslagen omzetbelasting";"C";5;;
"BVorBtwTtvOvm";"1102010.15";"Overige mutaties omzetbelasting";"C";5;;
"BVorOvr";"1103000";"Overige vorderingen";"D";3;;
"BVorOvrWbs";"1103010";"Waarborgsom";"D";4;;
"BVorOvrTvd";"1103020";"Te vorderen dividend";"D";4;;
"BVorOvrInd";"1103030";"Ingehouden dividendbelasting";"D";4;;
"BVorOvrTvs";"1103040";"Te vorderen overheidssubsidies";"D";4;;
"BVorOvrTvl";"1103050";"Te vorderen loonsubsidie";"D";4;;
"BVorOvrTos";"1103060";"Te vorderen overige subsidies";"D";4;;
"BVorOvrTvr";"1103070";"Te vorderen rente lening";"D";4;;
"BVorOvrTvo";"1103080";"Te vorderen overige rente";"D";4;;
"BVorOvrVrb";"1103090";"Vooruitbetalingen";"D";4;;
"BVorOvrVgk";"1103100";"Vorderingen op groepsmaatschappijen (kortlopend)";"D";4;"BSchOvsSag";
"BVorOvrVok";"1103110";"Vorderingen op overige verbonden maatschappijen (kortlopend)";"D";4;"BSchOvsSao";
"BVorOvrVpk";"1103120";"Vorderingen op participanten en op maatschappijen waarin wordt deelgenomen (kortlopend)";"D";4;"BSchOvsSap";
"BVorOvrVao";"1103130";"Van aandeelhouders opgevraagde stortingen";"D";4;"BSchOvsSaa";
"BVorOvrRcb";"1103140";"Rekening-courant bestuurders";"D";4;"BSchOvsRcb";"Referentieomslagcode"
"BVorOvrVup";"1103150";"Vorderingen uit hoofde van pensioenen";"D";4;"BSchOvsStp";"Referentieomslagcode"
"BVorOvrVub";"1103160";"Vorderingen uit hoofde van belastingen";"D";4;;"Referentieomslagcode"
"BVorOvrBlk";"1103170";"Latente belastingvorderingen (kortlopend)";"D";4;;
"BVorOvrLek";"1103180";"Ledenlening (kortlopend)";"D";4;;"Nieuw toegevoegd"
"BVorOvrOvk";"1103190";"Overige vorderingen (kortlopend)";"D";4;;"Referentienummer"
"BVorOva";"1104000";"Overlopende activa";"D";3;;
"BVorOvaVof";"1104010";"Vooruitbetaalde facturen";"D";4;;
"BVorOvaVbs";"1104020";"Vooruitverzonden op bestellingen";"D";4;;
"BVorOvaNtf";"1104030";"Nog te factureren of nog te verzenden facturen";"D";4;;
"BVorOvaTor";"1104040";"Te ontvangen rente";"D";4;;
"BVorOvaVbr";"1104050";"Vooruitbetaalde rente";"D";4;;
"BVorOvaOoa";"1104060";"Overige overlopende activa";"D";4;;
"BSch";;"KORTLOPENDE SCHULDEN";"C";2;;
"BSchKol";"1201000";"Kortlopende leningen";"C";3;;
"BSchKolAlk";"1201010";"Achtergestelde leningen (kortlopend)";"C";4;;
"BSchKolClk";"1201020";"Converteerbare leningen (kortlopend)";"C";4;;
"BSchKolAok";"1201030";"Andere obligaties en onderhandse leningen (kortlopend)";"C";4;;
"BSchKolFlk";"1201040";"Financiële lease verplichtingen (kortlopend)";"C";4;;
"BSchKolOpl";"1201050";"Operationele lease verplichtingen (kortlopend)";"C";4;;
"BSchKolHvk";"1201060";"Hypotheken van kredietinstellingen (kortlopend)";"C";4;;
"BSchKolFvk";"1201070";"Financieringen van kredietinstellingen (kortlopend)";"C";4;;
"BSchKolLvk";"1201080";"Leningen van kredietinstellingen (kortlopend)";"C";4;;
"BSchSav";"1202000";"Kortlopende schulden aan verbonden partijen";"C";3;;"Omschrijving"
"BSchSavSgk";"1202010";"Schulden aan groepsmaatschappijen (kortlopend)";"C";4;;
"BSchSavSvk";"1202020";"Schulden aan overige verbonden maatschappijen (kortlopend)";"C";4;;
"BSchSavSpk";"1202030";"Schulden aan participanten en aan maatschappijen waarin wordt deelgenomen (kortlopend)";"C";4;;
"BSchCre";"1203000";"Crediteuren";"C";3;;
"BSchCreHac";"1203010";"Handelscrediteuren";"C";4;;
"BSchCreHci";"1203020";"Handelscrediteuren intercompany";"C";4;;
"BSchCreVbk";"1203030";"Vooruitontvangen op bestellingen";"C";4;;
"BSchCreKcr";"1203040";"Kostencrediteuren";"C";4;;
"BSchSal";"1204000";"Salarisverwerking";"C";3;;
"BSchSalNet";"1204010";"Nettolonen";"C";4;;
"BSchSalVpe";"1204020";"Voorschotten personeel";"C";4;;
"BSchSalTan";"1204030";"Tantièmes";"C";4;;
"BSchSalTvg";"1204040";"Te betalen vakantiebijslag";"C";4;;
"BSchSalTbv";"1204050";"Reservering vakantiedagen";"C";4;;
"BSchSalVab";"1204060";"Vakantiebonnen";"C";4;;
"BSchSalBls";"1204070";"Bruto lonen en salarissen";"C";4;;
"BSchSalPsv";"1204080";"Premies sociale verzekeringen";"C";4;;
"BSchSalPen";"1204090";"Pensioenpremies";"C";4;;
"BSchSalPer";"1204100";"Personeelsfonds";"C";4;;
"BSchSalOna";"1204110";"Overige netto-afdrachten";"C";4;;
"BSchBtw";"1205000";"Omzetbelasting";"C";3;"BVorBtw";
"BSchBtwAtd";"1205010";"Af te dragen omzetbelasting";"C";4;"BVorBtwTtv";
"BSchBtwAtdBeg";"1205010.01";"Beginbalans af te dragen omzetbelasting";"C";5;;
"BSchBtwAtdOla";"1205010.02";"Omzetbelasting leveringen/diensten algemeen tarief ";"C";5;;
"BSchBtwAtdOlv";"1205010.03";"Omzetbelasting leveringen/diensten verlaagd tarief ";"C";5;;
"BSchBtwAtdOlo";"1205010.04";"Omzetbelasting leveringen/diensten overige tarieven ";"C";5;;
"BSchBtwAtdOop";"1205010.05";"Omzetbelasting over privégebruik ";"C";5;;
"BSchBtwAtdOlw";"1205010.06";"Omzetbelasting leveringen/diensten waarbij heffing is verlegd ";"C";5;;
"BSchBtwAtdOlb";"1205010.07";"Omzetbelasting leveringen/diensten uit landen buiten de EU ";"C";5;;
"BSchBtwAtdOlu";"1205010.08";"Omzetbelasting leveringen/diensten uit landen binnen EU ";"C";5;;
"BSchBtwAtdVoo";"1205010.09";"Voorbelasting ";"D";5;;
"BSchBtwAtdVvd";"1205010.10";"Vermindering volgens de kleineondernemersregeling ";"D";5;;
"BSchBtwAtdSva";"1205010.11";"Schatting vorige aangifte(n) ";"C";5;;
"BSchBtwAtdSda";"1205010.12";"Schatting deze aangifte ";"C";5;;
"BSchBtwAtdAfo";"1205010.13";"Afgedragen omzetbelasting ";"D";5;;
"BSchBtwAtdNah";"1205010.14";"Naheffingsaanslagen omzetbelasting";"C";5;;
"BSchBtwAtdOvm";"1205010.15";"Overige mutaties omzetbelasting";"C";5;;
"BSchLhe";"1206000";"Loonheffing";"C";3;;
"BSchLheAfb";"1206010";"Af te dragen loonheffing";"C";4;;
"BSchLheAfbBeg";"1206010.01";"Beginbalans af te dragen loonheffing ";"C";5;;
"BSchLheAfbAal";"1206010.02";"Aangifte loonheffing ";"C";5;;
"BSchLheAfbAlh";"1206010.03";"Afgedragen Loonheffing ";"D";5;;
"BSchLheAfbNah";"1206010.04";"Naheffingsaanslagen loonheffing";"C";5;;
"BSchLheAfbOvm";"1206010.05";"Overige mutaties loonheffing";"C";5;;
"BSchVpb";"1207000";"Vennootschapsbelasting";"C";3;;
"BSchVpbAtv";"1207010";"Af te dragen vennootschapsbelasting";"C";4;;
"BSchVpbAtvBeg";"1207010.01";"Beginbalans af te dragen vennootschapsbelasting";"C";5;;
"BSchVpbAtvAav";"1207010.02";"Aangifte vennootschapsbelasting ";"C";5;;
"BSchVpbAtvAgv";"1207010.03";"Aanslag vennootschapsbelasting ";"C";5;;
"BSchVpbAtvTvv";"1207010.04";"Te verrekenen vennootschapsbelasting ";"D";5;;
"BSchVpbAtvAfv";"1207010.05";"Afgedragen vennootschapsbelasting ";"D";5;;
"BSchVpbAtvNah";"1207010.06";"Naheffingsaanslagen vennootschapsbelasting";"C";5;;
"BSchVpbAtvOvm";"1207010.07";"Overige mutaties vennootschapsbelasting";"C";5;;
"BSchOvb";"1208000";"Overige belastingen";"C";3;;
"BSchOvbBib";"1208010";"Binnenlandse belastingen";"C";4;;
"BSchOvbBut";"1208020";"Buitenlandse belastingen";"C";4;;
"BSchOvbPrb";"1208030";"Provinciale belastingen";"C";4;;
"BSchOvbGbe";"1208040";"Gemeentelijke belastingen";"C";4;;
"BSchOvbBgd";"1208050";"Belastingen op verkochte goederen en diensten uitgezonderd BTW";"C";4;;"Nieuw toegevoegd"
"BSchOvbOvb";"1208060";"Overige belastingen";"C";4;;"Nieuw toegevoegd"
"BSchOvs";"1209000";"Overige schulden";"C";3;;
"BSchOvsSaa";"1209010";"Schulden aan aandeelhouders";"C";4;"BVorOvrVao";
"BSchOvsRcb";"1209020";"Rekening-courant bestuurders";"C";4;"BVorOvrRcb";
"BSchOvsRba";"1209030";"Rekening-courant bank";"C";4;"BLimBanRba";
"BSchOvsSag";"1209040";"Overige schulden aan groepsmaatschappijen";"C";4;"BVorOvrVgk";
"BSchOvsSao";"1209050";"Overige schulden aan overige verbonden maatschappijen";"C";4;"BVorOvrVok";
"BSchOvsSap";"1209060";"Overige schulden aan participanten en aan maatschappijen waarin wordt deelgenomen";"C";4;"BVorOvrVpk";
"BSchOvsTbd";"1209070";"Te betalen dividend";"C";4;;
"BSchOvsTbw";"1209080";"Te betalen wissels en cheques";"C";4;;
"BSchOvsGif";"1209090";"Giftenverplichtingen";"C";4;;
"BSchOvsSuv";"1209100";"Subsidieverplichtingen";"C";4;;
"BSchOvsStp";"1209110";"Schulden terzake van pensioenen";"C";4;"BVorOvrVup";"Referentieomslagcode"
"BSchOvsSuh";"1209120";"Schulden uit hoofde van projecten";"C";4;"BProOnpGet";
"BSchOvsVvv";"1209130";"Verplichtingen uit hoofde van onroerende zaken verkocht onder voorwaarden";"C";4;;
"BSchOvsVpo";"1209140";"Verplichtingen aan overheid";"C";4;;
"BSchOvsOvs";"1209150";"Overige schulden";"C";4;;
"BSchOpa";"1210000";"Overlopende passiva";"C";3;;
"BSchOpaNto";"1210010";"Nog te ontvangen facturen";"C";4;;
"BSchOpaNtb";"1210020";"Nog te betalen kosten";"C";4;;
"BSchOpaTbr";"1210030";"Te betalen rente";"C";4;;
"BSchOpaVor";"1210040";"Vooruitontvangen rente";"C";4;;
"BSchOpaOop";"1210050";"Overige overlopende passiva";"C";4;;
"BVrd";;"VOORRADEN";"D";2;;
"BVrdHan";"3001000";"Handelsgoederen";"D";3;;
"BVrdHanVoo";"3001010";"Voorraad handelsgoederen";"D";4;;
"BVrdHanVic";"3001020";"Voorziening incourant handelsgoederen";"C";4;;
"BVrdHanHvv";"3001030";"Herwaardering van voorraden handelsgoederen";"D";4;;"D"
"BVrdHanAwv";"3001040";"Afwaardering van voorraden handelsgoederen";"C";4;;
"BVrdHanTve";"3001050";"Terugneming van een eerder verwerkte afwaardering handelsgoederen";"D";4;;
"BVrdGeh";"3002000";"Grond- en hulpstoffen";"D";3;;
"BVrdGehVoo";"3002010";"Voorraad grond- en hulpstoffen";"D";4;;
"BVrdGehVic";"3002020";"Voorziening incourant grond- en hulpstoffen";"C";4;;
"BVrdGehHvv";"3002030";"Herwaardering van voorraden grond- en hulpstoffen";"D";4;;"D"
"BVrdGehAwv";"3002040";"Afwaardering van voorraden grond- en hulpstoffen";"C";4;;
"BVrdGehTve";"3002050";"Terugneming van een eerder verwerkte afwaardering grond- en hulpstoffen";"D";4;;
"BVrdEmb";"3003000";"Emballage";"D";3;;
"BVrdEmbVoo";"3003010";"Voorraad emballage";"D";4;;
"BVrdEmbVic";"3003020";"Voorziening incourant emballage";"C";4;;
"BVrdEmbHvv";"3003030";"Herwaardering van voorraden emballage";"D";4;;"D"
"BVrdEmbAwv";"3003040";"Afwaardering van voorraden emballage";"C";4;;
"BVrdEmbTve";"3003050";"Terugneming van een eerder verwerkte afwaardering emballage";"D";4;;
"BVrdVrv";"3004000";"Vooruitbetaald op voorraden";"D";3;;
"BVrdVrvVoo";"3004010";"Vooruitbetalingen op voorraden";"D";4;;
"BVrdVrvVic";"3004020";"Voorziening incourant vooruitbetaald op voorraden";"C";4;;
"BVrdVrvHvv";"3004030";"Herwaardering van voorraden vooruitbetaald op voorraden";"D";4;;"D"
"BVrdVrvAwv";"3004040";"Afwaardering van voorraden vooruitbetaald op voorraden";"C";4;;
"BVrdVrvTve";"3004050";"Terugneming van een eerder verwerkte afwaardering vooruitbetaald op voorraden";"D";4;;
"BVrdOwe";"3101000";"Onderhanden werken";"D";3;;
"BVrdOweVoo";"3101010";"Voorraad onderhanden werken";"D";4;;
"BVrdOweGet";"3101020";"Gefactureerde termijnen onderhanden werken";"C";4;;
"BVrdOweVzv";"3101030";"Voorziening verliezen onderhanden werken";"C";4;;
"BVrdHal";"3102000";"Halffabrikaten";"D";3;;
"BVrdHalVoo";"3102010";"Voorraad halffabrikaten";"D";4;;
"BVrdHalVic";"3102020";"Voorziening incourant halffabrikaten";"C";4;;
"BVrdHalHvv";"3102030";"Herwaardering van voorraden halffabrikaten";"D";4;;"D"
"BVrdHalAwv";"3102040";"Afwaardering van voorraden halffabrikaten";"C";4;;
"BVrdHalTve";"3102050";"Terugneming van een eerder verwerkte afwaardering halffabrikaten";"D";4;;
"BVrdGep";"3103000";"Gereed product";"D";3;;
"BVrdGepVoo";"3103010";"Voorraad gereed product";"D";4;;
"BVrdGepVic";"3103020";"Voorziening incourant gereed product";"C";4;;
"BVrdGepHvv";"3103030";"Herwaardering van voorraden gereed product";"D";4;;"D"
"BVrdGepAwv";"3103040";"Afwaardering van voorraden gereed product";"C";4;;
"BVrdGepTve";"3103050";"Terugneming van een eerder verwerkte afwaardering gereed product";"D";4;;
"BVrdVas";"3104000";"Vastgoed";"D";3;;
"BVrdVasVio";"3104010";"Vastgoed in ontwikkeling bestemd voor de verkoop vastgoed";"D";4;;
